Sexe,Âge,Influence qualité visuelle sur likes,Influence visages sur likes,Impact commentaires partages sur likes,Influence réactivité auteur sur likes,Influence hashtags sur likes,Influence notifications sur likes,Influence événements spécifiques sur likes,Influence mises à jour sur likes,Types contenu plus engageants,Photo/image,Vidéo,Citation / Texte,Infographie,6h-9h,12h-14h,18h-20h,Nuit,Qualité du contenu,Fréquence et régularité,Interactivité et engagement,Type de contenu recommandé,Public cible et stratégie,Suggestions générales
1,2,1,1,1,1,1,2,1,1,,1,1,1,0,0,0,1,0,0,0,0,0,0,0
1,2,1,1,1,1,1,1,1,1,2.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
1,2,1,1,1,1,1,1,1,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,1,2,1,1,1,1,1,3.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0,1,1,1,1,1,0,2,1,1,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,1,1,2,1,1,2.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1,5,1,1,4,0,0,3,1,3,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3,0,0,1,1,1,1,0,3,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,1,2,1,1,1,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,1,2,1,1,2,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,3,1,0,2,1,0,1,1,1,3.0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
1,2,1,1,2,1,1,2,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,1,2,1,1,2,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,1,1,1,1,2,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,0,3,0,0,2,1,3,2.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,1,1,1,1,1,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,1,1,1,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,2,1,1,2,0,1,1,1,1,1.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,1,0,2,0,1,2,1,3,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,2,0,1,1,0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,0,1,1,1,1,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,2,1,1,2,1,0,1,1,1,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3,0,0,4,1,0,2,0,2,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,0,3,1,1,2,1,1,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,3,1,1,2,1,0,2,1,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4,1,0,4,1,0,2,1,1,3.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
0,2,0,0,3,0,1,2,1,1,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,3,0,1,2,1,1,2,1,3,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0,2,1,0,2,1,0,2,1,3,2.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
0,2,1,1,1,1,0,3,0,1,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,2,1,0,3,1,1,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,2,1,1,2,1,3,2.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0,1,1,0,2,1,0,2,1,1,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,1,1,1,1,1,2,1,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,4,1,0,1,1,3,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,3,1,0,2,1,3,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,2,1,1,1,1,0,2,1,1,1.0,0,1,1,0,1,1,1,1,0,0,0,0,0,0
0,5,1,0,4,1,0,3,1,3,3.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,2,0,0,2,1,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2.0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
0,3,0,0,3,1,1,2,1,3,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,2,1,0,3,0,0,3,1,3,3.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,3,1,1,2,1,1,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,4,1,0,2,1,1,3.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,3,1,1,2,0,1,3,0,3,2.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1,2,1,1,1,1,0,1,1,1,2.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,2,1,1,1,1,1,1,1,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,0,1,1,1,2,1,1,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,2,1,0,1,1,1,1,1,3,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,0,4,0,0,1,0,3,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1,2,1,1,2,1,1,1,1,1,2.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1,0,0,3,1,0,2,1,2,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,5,0,1,3,1,1,3,1,1,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,2,1,0,2,0,1,2,1,1,3.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,4,1,0,2,1,1,1,1,1,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
0,3,1,1,1,1,1,2,1,1,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3,1,1,1,1,1,2,0,1,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,2,1,1,1,1,0,2,1,3,3.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,2,1,1,1,1,1,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,1,1,1,0,0,2,1,3,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,2,1,1,1,1,1,2.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0,2,1,0,1,1,1,2,1,3,1.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
0,2,1,1,1,1,1,1,1,3,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,1,0,3,0,1,1,1,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0,2,1,0,1,1,1,2,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
